2026-09-18 21:49:24.956 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:49:25.791 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:49:25.890 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.web.context.support.GenericWebApplicationContext@28964cb5, started on Fri Sep 18 21:49:25 CST 2026
2026-09-18 21:49:26.489 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:49:26.490 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:50:48.951 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:50:51.525 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:50:51.525 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:50:54.436 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:50:54.597 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6b85fabc, started on Fri Sep 18 21:50:53 CST 2026
2026-09-18 21:50:55.729 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:50:55.729 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:50:56.533 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:50:56.650 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.web.context.support.GenericWebApplicationContext@d556143, started on Fri Sep 18 21:50:55 CST 2026
2026-09-18 21:50:57.273 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:50:57.273 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:52:12.481 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:52:15.145 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:52:15.145 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:52:17.951 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:52:18.093 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@efc5686, started on Fri Sep 18 21:52:16 CST 2026
2026-09-18 21:52:18.941 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:52:18.942 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:52:19.810 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:52:19.909 [main] WARN  com.example.demo.utils.SpringContextUtil -[traceId=,spanId=]- Original apx will be override:org.springframework.web.context.support.GenericWebApplicationContext@2b79945f, started on Fri Sep 18 21:52:19 CST 2026
2026-09-18 21:52:20.465 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:52:20.465 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
